target;ids;date;user;text
0;1,32654E+18;11/11/2020 15:01;FlechasPaolo;RT SosSemana El 66 de la minera aluvial de oro en Colombia es ilegal Choc y Antioquia son los departamentos donde las imgenes satel
0;1,32654E+18;11/11/2020 14:59;NicolasHC20;RT Rosental Muy grave muy triste la situacin que enfrenta el periodismo de Colombia al ver la transformacin la debacle de la Revist
0;1,32654E+18;11/11/2020 14:58;DavidJRicardo1;RT SosSemana El 66 de la minera aluvial de oro en Colombia es ilegal Choc y Antioquia son los departamentos donde las imgenes satel
0;1,32654E+18;11/11/2020 14:57;juanchaves_co;Creer en la ciencia se volvi un tema de partidos Al menos as parece en Canada US UK y Germany segn encues
0;1,32654E+18;11/11/2020 14:56;FlorMar81615791;RT SosSemana El 66 de la minera aluvial de oro en Colombia es ilegal Choc y Antioquia son los departamentos donde las imgenes satel
0;1,32654E+18;11/11/2020 14:56;Apstefto1;RT Luar5901 DOS MUY MALOS HIJOS D LA PatriaGrande Presidente Brasil dice q la nacin deba dejar d ser un pas d maricones ante cor
0;1,32654E+18;11/11/2020 14:56;Jauguvalc;RT lanuevaprensaco Las 3 teoras sobre quin mat a lvaro Gmez Hurtado el magnicidio que constern a Colombia hace 25 aos y que se m
0;1,32654E+18;11/11/2020 14:55;Fiel25145644;Pitita pasa a ser un trmino de identidad de lo malo y retrgrado en BoliviaUn apelativo con el que se auto id
0;1,32654E+18;11/11/2020 14:55;Apstefto1;RT PauloAbrao Al menos 8 jvenes detenidos en una estacin de la polica de una ciudad del centro de Colombia murieron despus de sufrir
0;1,32654E+18;11/11/2020 14:54;Rosental;Muy grave muy triste la situacin que enfrenta el periodismo de Colombia al ver la transformacin la debacle de
0;1,32654E+18;11/11/2020 14:47;BettyCRodri;RT Luar5901 DOS MUY MALOS HIJOS D LA PatriaGrande Presidente Brasil dice q la nacin deba dejar d ser un pas d maricones ante cor
