Tweet Text;Tweet Datetime;Tweet Id;Twitter @ Name;Tweet Coordinates;Place Info;Retweets;Favorites;Language;Source;Replied Tweet Id;Replied Tweet User Id Str;Quote Status Bool
RT marianodealba Luego de reunirse con el Rey de Espaa el presidente de Colombia Ivn Duque declar quiero destacar que se va a m;10/11/2020 04:27;1.32602E+18;Pitoloco2021;;;42;0;es;Twitter Web App;;;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 04:27;1.32602E+18;danirios21;;;31;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 04:27;1.32602E+18;OctavioLopezSie;;;37;0;es;Twitter for Android;;;False
MariaFdaCabal JoeBiden Esta compradora de votos no se cansa de hablar tanta No se quin o que se cree ella par;10/11/2020 04:26;1.32602E+18;alexandergico;;;0;0;es;Twitter for Android;1.326E+18;350862112;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 04:25;1.32602E+18;Daniell68516389;;;31;0;es;Twitter for Android;;;False
RT PanAmPostes Aunque faltan ocho meses para elegir la nueva directiva del Senado de Colombia la pugna entre los partidos ya comenz;10/11/2020 04:25;1.32602E+18;juanhs17;;;3;0;es;Twitter for Android;;;False
RT StefanBravo3 Colombia ATENCION Se necesita urgente sto yaTirar a matar a los delincuentes;10/11/2020 04:24;1.32602E+18;ivanacorcho2;;;0;0;es;Twitter for Android;;;False
RT CoronavirusNewv COLOMBIASe reportan 5176 nuevos casos y 183 nuevas muertes por covid19 en ColombiaColombia COVID19;10/11/2020 04:24;1.32602E+18;valen_zapata123;;;8;0;es;Twitter for Android;;;False
VIVA Chvez la cara de duqueVenezuela Colombia MissUSA2020;10/11/2020 04:24;1.32602E+18;Gloria96ov;;;0;0;es;Twitter for Android;;;False
Colombia IMGENES FUERTES Barranquilla Colombia en los arroyos de los barrios subnormales un nio rescat;10/11/2020 04:23;1.32602E+18;24horasni;;;0;0;es;Twitter for Android;;;False
En Amrica la geopoltica tomara un nuevo rumbo ms all del acto de posesin de JoeBidenen 2021 el 2022 con;10/11/2020 04:23;1.32602E+18;BCJose1994;;;0;0;es;Twitter for Android;;;False
