polarity;tweet
0;RT marianodealba Luego de reunirse con el Rey de Espaa el presidente de Colombia Ivn Duque declar quiero destacar que se va a m
1;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;MariaFdaCabal JoeBiden Esta compradora de votos no se cansa de hablar tanta No se quin o que se cree ella par
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
0;RT PanAmPostes Aunque faltan ocho meses para elegir la nueva directiva del Senado de Colombia la pugna entre los partidos ya comenz
-1;RT StefanBravo3 Colombia ATENCION Se necesita urgente sto yaTirar a matar a los delincuentes
-1;RT CoronavirusNewv COLOMBIASe reportan 5176 nuevos casos y 183 nuevas muertes por covid19 en ColombiaColombia COVID19
-1;VIVA Chvez la cara de duqueVenezuela Colombia MissUSA2020
-1;Colombia IMGENES FUERTES Barranquilla Colombia en los arroyos de los barrios subnormales un nio rescat
0;En Amrica la geopoltica tomara un nuevo rumbo ms all del acto de posesin de JoeBidenen 2021 el 2022 con
-1;RT GuardiolaGG El horror ms all del dolor est en la ausencia de empata por parte de las autoridades Guanajuato Ni un mensaje de ps
-1;RoaJavier IvanDuque RanderPena La realidad que desinforma NoticiasCaracol Delegacin de Colombia encabezada
-1;RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif
-1;Colombia Qu pasa si una empleada domstica contrae COVID19
-1;RT vhfiel El que la prensa censure a un presidente y proclame presidente a un candidato es antidemocrtico Significa que la prensa es q
-1;El que la prensa censure a un presidente y proclame presidente a un candidato es antidemocrtico Significa que la
-1;Colombia suma ms de 5100 casos de coronavirus y se acerca a 15 millones de acumulados
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
1;RT crissgeithner Diganme que si Enamoraditos auracristinageithner lapotradelabanda actresslife colombia
-1;No estoy de acdo con tu ataque Imagina que por eso te lanzo piedras Tengo derecho Te gustara Estaras de acu
0;RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife
-1;Falleci el director Roberto Reyes Toledo Noticias lavibrante AEstahora Leer ms colombia destacada
1;De Colombia para el mundo paneleros comenzaron a producir agua de panela embotellada con gas y con limn El pro
-1;RT krojas2018 Vivir en la zona de guerra Hoy vuelve a ser un da triste y de tremenda indignacin para la prensa en Mexico
-1;RT miastrofutbol EL BARCELONA ENCAJALos dirigidos por Koeman golearon al Betis con un Messi que entr a cambiar el partido Todas las c
-1;RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif
-1;Cuauhtemoc Lo ejecutan en una brecha cerca del Boulevard Castillo cabrera AdrianaRuiz
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
-1;RT GermanvalenCT LaIzquierdaSigueAsesinando ATENCIONQu otra cosa si no es repugnancia se pude sentir por las FARC Anoche ataca
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
1;VamosGuate MAANA SE UNEN A LOS ENTRENAMIENTOS DE LA BICOLOR EL PORTERO RICARDO JEREZ AlianzaPetrolera
0;RT YoSoyDanteEJC Colombia los soldados del Ejrcito Nacional continuarn cuidndolo durante la nocheEjrcitoTransparenteDenuncie
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
1;RT generoalatina Gracias a las voces que se levantan en cada pas en especial en aquellos lugares que han padecido la guerra por tantos
1;Gracias a las voces que se levantan en cada pas en especial en aquellos lugares que han padecido la guerra por ta
1;RT ONUHumanRights Hoy analizamos avances y desafos para la bsqueda de personas desaparecidas en el conflicto Colombia DDHH Reunin
0;RT MedicinaMilitar El Soldado nunca muere slo se rene con Dios para la Batalla Final Solo los Muertos han visto el final de
-1;tragediapolitica es seguir con los mismo politicos y que crean que son dueos del pais que verguenza Vizcarra
-1;RT DanielRiosVE Juzgado de Colombia orden a la alcaldesa de Bogot Claudia Lpez borrar publicaciones contra los venezolanos que fu
-1;RT PrimeraHoraEcu Internacional Una mujer que caminaba con su hija de 3 aos se enfrent con un ladrn armado que intent robarle s
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT krojas2018 Vivir en la zona de guerra Hoy vuelve a ser un da triste y de tremenda indignacin para la prensa en Mexico
-1;RT ecotalvora diplomacia chavista canciller d Maduro introduce a sus empleados a palacio presidencial en LaPaz Bolivia para gritarl
1;RT Autoextragti Ya se present en Corea y hace su aparicin oficial en EEUU Ojal pronto la cuarta generacin de la Hyundai Tucson lleg
-1;RT maomontenegro juanabad1985 Areametropol Porquera Humanas ubiquen culpables para generar justiciaMnimo merecen silla elctrica C
-1;RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife
-1;RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif
-1;RT CarlosZambrano7 ULTIMAHORAA todos los comunistas que viven y se quejan de EEUU Espaa UE Colombia Chile cambio mi casa y mi sue
0;Los jugadores que militan en Europa llegaron a Barranquilla de cara al partido del viernes contra Colombia por
-1;Dnde se irn a meter Petro Bobolivar JuHampaSantos MartinSantos PiedadCordoba SanchezCristo y todo Progress
